LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
0	1762.65	0.0817257	90000	7.29953e+06	1.26703e+06	98.6934	-7.18884e+06
1	3525.28	0.135981	80000	7.20554e+06	1.25085e+06	29.7627	-7.09624e+06
2	5288.1	0.128887	70000	7.18164e+06	1.24685e+06	48.6173	-7.07269e+06
3	7050.98	0.0384776	60000	7.16684e+06	1.24429e+06	-59.0508	-7.05811e+06
4	8813.78	-0.0128567	50000	7.12888e+06	1.23763e+06	-32.4226	-7.02073e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.9	-0.149988	90000	7.51047e+06	1.30382e+06	-332.434	-7.39654e+06
1	3525.79	-0.558627	80000	7.49451e+06	1.30114e+06	-249.617	-7.38081e+06
2	5288.66	-0.949413	70000	7.47991e+06	1.29854e+06	-370.181	-7.36644e+06
3	7051.34	-1.2343	60000	7.43597e+06	1.29078e+06	-171.398	-7.32319e+06
4	8813.81	-1.59508	50000	7.35089e+06	1.27591e+06	-347.848	-7.23942e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.88	0.0064674	90000	7.37558e+06	1.28058e+06	128.027	-7.26367e+06
1	3526	0.267621	80000	7.35157e+06	1.27657e+06	280.064	-7.23999e+06
2	5289.27	0.672716	70000	7.33681e+06	1.27408e+06	203.09	-7.22544e+06
3	7052.69	0.963224	60000	7.29036e+06	1.26619e+06	102.982	-7.17967e+06
4	8816.21	1.11377	50000	7.25824e+06	1.26055e+06	50.4796	-7.14805e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.82	0.043757	90000	7.55491e+06	1.31164e+06	59.5654	-7.44029e+06
1	3525.52	0.051527	80000	7.52774e+06	1.30671e+06	-156.042	-7.41356e+06
2	5288.33	-0.0139026	70000	7.48784e+06	1.29998e+06	33.6421	-7.37423e+06
3	7051.17	-0.0938342	60000	7.19775e+06	1.24964e+06	-2.86486	-7.08854e+06
4	8814.26	-0.0852146	50000	7.18776e+06	1.24818e+06	105.781	-7.07866e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.73	-0.00911576	90000	7.46431e+06	1.29567e+06	105.94	-7.35111e+06
1	3525.37	0.335421	80000	7.41026e+06	1.28635e+06	424.105	-7.29787e+06
2	5287.93	1.00437	70000	7.37829e+06	1.28074e+06	619.087	-7.26639e+06
3	7050.39	1.79443	60000	5.84341e+06	1.0142e+06	393.445	-5.75483e+06
4	8812.44	2.29414	50000	5.78899e+06	1.00449e+06	254.456	-5.70128e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.79	0.0974628	90000	7.53775e+06	1.30861e+06	147.212	-7.42339e+06
1	3525.52	0.372592	80000	6.12306e+06	1.06304e+06	192.064	-6.03018e+06
2	5288.32	0.7583	70000	6.05098e+06	1.05056e+06	243.065	-5.95919e+06
3	7051.13	1.09586	60000	6.02483e+06	1.04594e+06	161.895	-5.93345e+06
4	8813.63	1.50161	50000	6.01594e+06	1.0442e+06	276.545	-5.92473e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.94	0.0610233	90000	7.37165e+06	1.27995e+06	81.7336	-7.25979e+06
1	3525.9	0.242751	80000	7.345e+06	1.27531e+06	349.789	-7.23354e+06
2	5289.12	0.708187	70000	7.30263e+06	1.26807e+06	299.507	-7.19179e+06
3	7052.3	1.03844	60000	7.27557e+06	1.26331e+06	242.41	-7.16516e+06
4	8815.43	1.33009	50000	7.26607e+06	1.26168e+06	216.309	-7.1558e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.7	0.0841137	90000	7.5525e+06	1.31094e+06	139.673	-7.43796e+06
1	3525.11	0.23418	80000	7.53948e+06	1.30856e+06	162.537	-7.42516e+06
2	5287.57	0.579324	70000	7.52677e+06	1.30656e+06	302.546	-7.4126e+06
3	7049.29	1.21326	60000	7.50018e+06	1.30085e+06	526.245	-7.38661e+06
4	8810.4	1.65512	50000	7.48918e+06	1.29892e+06	212.84	-7.37579e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.84	-0.00389658	90000	7.5302e+06	1.30742e+06	-133.407	-7.41594e+06
1	3525.55	-0.200891	80000	7.33114e+06	1.27259e+06	-206.252	-7.21995e+06
2	5288.06	-0.573751	70000	7.32277e+06	1.27109e+06	-295.516	-7.21172e+06
3	7050.8	-1.04467	60000	6.7946e+06	1.17958e+06	-407.963	-6.69153e+06
4	8813.76	-1.46445	50000	6.77321e+06	1.17619e+06	-190.723	-6.67041e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1763.17	0.180459	90000	7.48783e+06	1.30027e+06	181.492	-7.37418e+06
1	3526.42	0.373985	80000	7.48056e+06	1.29909e+06	-20.3999	-7.367e+06
2	5289.72	0.349696	70000	7.3942e+06	1.28412e+06	-41.6995	-7.28195e+06
3	7053.21	0.348223	60000	7.3826e+06	1.28232e+06	-37.05	-7.27049e+06
4	8816.9	0.327487	50000	7.36858e+06	1.27993e+06	-75.4268	-7.25668e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
