LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	-31.5034	39.0875	80000	73263
1	-21.9821	173.23	60000	62007.9
2	41.9775	320.234	40000	49568.8
3	105.711	442.428	20000	39171.8
4	208.963	457.204	0	27176.8
5	338.923	563.201	-20000	15792.3
6	146.421	653.214	-40000	4525.13
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	14.2747	18.751	80000	76174.3
1	56.4744	-10.7675	60000	64428.7
2	94.9657	-63.0828	40000	52681.5
3	204.698	-129.251	20000	40623.9
4	420.725	-200.446	0	28901.1
5	827.994	-217.981	-20000	16805.2
6	1417.05	-393.415	-40000	4987.21
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	27.815	-40.9391	80000	67527
1	54.123	-75.1383	60000	54405.3
2	78.7324	10.6248	40000	43865.9
3	15.3366	4.58374	20000	30522.9
4	-210.848	-286.05	0	19826.2
5	-493.542	-761.169	-20000	9254.37
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	12.8642	-0.488736	80000	72678.7
1	116.27	3.80506	60000	59950.2
2	275.837	-12.7038	40000	48783.7
3	386.299	20.4294	20000	38354.6
4	430.156	152.172	0	26442.6
5	411.104	237.804	-20000	9192.1
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-21.6624	-10.4084	80000	75411.2
1	-58.5275	-19.9743	60000	64309
2	-152.991	41.368	40000	51664.5
3	-240.995	8.59337	20000	39746.8
4	-322.745	0.291044	0	26901.6
5	-464.785	-173.729	-20000	15251.8
6	-549.271	-488.354	-40000	2880.97
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-11.9915	1.60762	80000	75246.6
1	61.1281	2.84129	60000	61427.1
2	224.732	-80.1635	40000	49922.9
3	393.509	-203.801	20000	35642.9
4	419.48	-331.254	0	22546.5
5	347.2	-463.143	-20000	11089.5
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-15.2171	10.1797	80000	70236
1	-83.1863	114.711	60000	59403.6
2	-233.926	211.946	40000	47171
3	-421.236	376.497	20000	34825.3
4	-722.369	632.897	0	23256.4
5	-1066.6	1057.39	-20000	10835.1
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	8.26247	-20.2765	80000	75632.9
1	14.3148	-89.3642	60000	64563.8
2	21.8505	-72.6898	40000	51097.2
3	99.413	-96.3115	20000	39242.6
4	53.6213	-261.411	0	28690.9
5	-52.9114	-562.021	-20000	16867.1
6	-205.197	-1029.04	-40000	5544.3
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-9.09886	22.5077	80000	68726
1	-73.5638	65.9843	60000	55364.1
2	-173.008	102.233	40000	40295.2
3	-232.313	115.554	20000	26014.7
4	-122.567	96.5294	0	14621.9
5	182.17	-187.798	-20000	3577.09
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	30.6939	-31.9797	80000	73369.5
1	12.5991	-29.6871	60000	61992.7
2	-13.6384	49.1446	40000	50485.9
3	-122.259	230.238	20000	34164.3
4	-210.031	400.048	0	18886.9
5	-423.601	679.977	-20000	6281.85
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-5.59419	-11.8428	80000	75526.6
1	-54.9272	-68.0897	60000	61952.3
2	-155.294	-72.3636	40000	50331.9
3	-98.2734	-20.3103	20000	37522.9
4	49.6765	223.449	0	23320
5	186.96	782.643	-20000	12116.9
6	424.131	1042.9	-40000	1262.76
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-3.50291	23.1908	80000	75810.5
1	11.724	131.8	60000	64344
2	54.9146	251.011	40000	53242.3
3	80.9923	379.259	20000	40850.3
4	28.2673	432.118	0	29588.7
5	-113.913	556.251	-20000	13628.9
6	-338.166	946.909	-40000	1771.17
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	31.4879	9.82508	80000	76488.6
1	125.938	54.8899	60000	60136.3
2	170.296	78.4229	40000	48113.9
3	224.922	31.4735	20000	35849.1
4	213.097	-96.9126	0	22293.5
5	-46.7419	-458.379	-20000	11908.3
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	34.7114	20.0038	80000	75444.8
1	26.8018	33.0029	60000	63856.4
2	-53.8401	36.4613	40000	40673.5
3	-144.248	55.8659	20000	29091.6
4	-296.791	-68.9958	0	12362.8
5	-324.976	-603.644	-20000	1724.83
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	27.336	-14.1884	80000	76262.8
1	95.2579	-58.5821	60000	65299.2
2	73.3563	-54.2102	40000	52190
3	95.0762	9.69021	20000	41787.4
4	137.321	45.7881	0	28280.6
5	229.597	21.9006	-20000	17635.4
6	188.421	61.4464	-40000	6809.05
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-11.5889	11.2661	80000	68937.3
1	-97.0074	80.3725	60000	56960.5
2	-149.584	177.639	40000	45291.2
3	-185.514	251.775	20000	32087.6
4	-248.273	288.847	0	20533.6
5	-483.62	545.307	-20000	7865.89
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-14.5442	7.50901	80000	69585.1
1	-25.9935	40.6076	60000	58121.9
2	-6.46248	12.9888	40000	45405.9
3	-2.84765	-14.7988	20000	34787.2
4	31.1623	24.5054	0	22784.4
5	-151.494	112.446	-20000	11812
6	-177.58	324.244	-40000	633.263
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-2.92833	8.43124	80000	73862.4
1	-7.71349	67.0779	60000	62329.5
2	9.94127	136.031	40000	49678.1
3	47.858	186.294	20000	38278
4	211.777	298.218	0	25941.3
5	500.776	451.549	-20000	14419.1
6	742.047	528.914	-40000	4221.6
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-92.4355	-3.58237	80000	75236.9
1	-211.418	-2.14973	60000	63523
2	-321.317	34.9378	40000	46922.4
3	-311.82	37.1513	20000	35826.3
4	-402.257	-80.1071	0	21756.1
5	-629.303	-39.7763	-20000	10192.8
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	6.9497	-14.3945	80000	74623.9
1	27.7721	-78.585	60000	60981.5
2	9.87851	-46.9068	40000	48395.9
3	45.761	18.2087	20000	36194.1
4	-27.3968	17.8119	0	24619.5
5	-154.157	-62.6254	-20000	12570.1
6	-533.856	-487.182	-40000	1760.89
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	0.687459	4.88496	80000	75773.4
1	6.37284	61.2347	60000	64407
2	27.8538	124.918	40000	51762.5
3	46.8759	284.711	20000	40823.8
4	24.8015	446.355	0	27955.1
5	-26.466	525.872	-20000	10440.1
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-3.73168	11.5126	80000	57114.9
1	15.163	152.786	60000	45583.6
2	140.407	300.595	40000	33668.5
3	328.113	386.364	20000	20817.5
4	464.012	613.391	0	8140.99
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-19.0356	8.2388	80000	72615.8
1	-61.6937	22.2926	60000	60785.2
2	-53.3206	-18.0463	40000	49061.4
3	-96.7096	-153.187	20000	36210
4	-48.4939	-401.941	0	24571.9
5	-96.4791	-748.978	-20000	13796.9
6	-315.69	-1095.86	-40000	1957.35
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-20.7253	29.9671	80000	76878.4
1	-18.6692	3.06147	60000	63998.1
2	-42.8487	-135.757	40000	52921.3
3	-60.8523	-250.476	20000	38331.3
4	-19.4814	-145.171	0	24096.9
5	48.8404	102.015	-20000	12762.1
6	92.0108	810.021	-40000	1455.56
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	27.6638	-10.5387	80000	75400.8
1	77.7149	-9.69417	60000	63651.8
2	87.9225	42.2552	40000	51935.7
3	39.3108	8.24609	20000	38178.9
4	-48.1071	21.1469	0	26357
5	-131.298	131.894	-20000	14732
6	-232.875	-247.521	-40000	4102.9
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-5.29391	-29.7317	80000	74513.6
1	1.52694	-21.0563	60000	61394.7
2	25.5636	82.6839	40000	48801.6
3	-69.8576	236.392	20000	37221.6
4	-204.912	302.038	0	26058.6
5	-374.748	406.548	-20000	15112.6
6	-911.083	689.056	-40000	4075.73
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	12.6317	-19.5465	80000	75557.6
1	6.91056	-25.4588	60000	63467.7
2	-26.7533	63.4906	40000	52414.9
3	-14.6801	104.53	20000	40366.5
